"filename", "language", "JavaScript", "TypeScript React", "TypeScript", "XML", "JavaScript React", "CSS", "comment", "blank", "total"
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DateFormatPicker\DateFormatPicker.tsx", "TypeScript React", 0, 75, 0, 0, 0, 0, 3, 5, 83
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DateFormatPicker\DateFormatPickerTypes.ts", "TypeScript", 0, 0, 41, 0, 0, 0, 0, 6, 47
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogCancelButton.tsx", "TypeScript React", 0, 34, 0, 0, 0, 0, 0, 5, 39
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogDeleteCancelButtons.tsx", "TypeScript React", 0, 57, 0, 0, 0, 0, 0, 4, 61
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogDisplayNetworkCancelButtons.tsx", "TypeScript React", 0, 58, 0, 0, 0, 0, 0, 4, 62
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogGenerateNetworkButton.tsx", "TypeScript React", 0, 48, 0, 0, 0, 0, 0, 4, 52
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogGenerateNetworkCancelButtons.tsx", "TypeScript React", 0, 57, 0, 0, 0, 0, 0, 4, 61
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogOkayButton.tsx", "TypeScript React", 0, 48, 0, 0, 0, 0, 0, 4, 52
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogOkayCancelButtons.tsx", "TypeScript React", 0, 57, 0, 0, 0, 0, 0, 4, 61
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogOneCancelButtons.tsx", "TypeScript React", 0, 66, 0, 0, 0, 0, 0, 5, 71
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogOpenCancelButtons.tsx", "TypeScript React", 0, 57, 0, 0, 0, 0, 0, 4, 61
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogRemoveNetworkCancelButtons.tsx", "TypeScript React", 0, 57, 0, 0, 0, 0, 0, 4, 61
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogRunForecastCancelButtons.tsx", "TypeScript React", 0, 58, 0, 0, 0, 0, 0, 4, 62
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogRunForecastCancelButtonsConfirmation.tsx", "TypeScript React", 0, 49, 0, 0, 0, 0, 0, 4, 53
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogSaveAndGenerateNetworkCancelButtons.tsx", "TypeScript React", 0, 57, 0, 0, 0, 0, 0, 4, 61
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogSaveButton.tsx", "TypeScript React", 0, 34, 0, 0, 0, 0, 0, 4, 38
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogSaveCancelButtons.tsx", "TypeScript React", 0, 57, 0, 0, 0, 0, 0, 4, 61
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogSelectButton.tsx", "TypeScript React", 0, 34, 0, 0, 0, 0, 0, 4, 38
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\DialogButtons\DialogViewSaveForecastCancelButtons.tsx", "TypeScript React", 0, 73, 0, 0, 0, 0, 0, 7, 80
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Dialogs\DialogTypes.ts", "TypeScript", 0, 0, 142, 0, 0, 0, 0, 5, 147
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Dialogs\Dialogs.tsx", "TypeScript React", 0, 71, 0, 0, 0, 0, 0, 6, 77
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Dialogs\EconomicsParameterImportWorkflowDialog.tsx", "TypeScript React", 0, 132, 0, 0, 0, 0, 0, 9, 141
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Dialogs\ListDialog.tsx", "TypeScript React", 0, 182, 0, 0, 0, 0, 0, 8, 190
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Dialogs\NewProjectWorkflowDialog.tsx", "TypeScript React", 0, 232, 0, 0, 0, 0, 0, 16, 248
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Dialogs\SelectWorksheetDialog.tsx", "TypeScript React", 0, 308, 0, 0, 0, 0, 8, 21, 337
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Dialogs\TextDialog.tsx", "TypeScript React", 0, 133, 0, 0, 0, 0, 0, 8, 141
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Drawers\ContextDrawer.tsx", "TypeScript React", 0, 135, 0, 0, 0, 0, 0, 7, 142
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Drawers\DialogContextDrawer.tsx", "TypeScript React", 0, 118, 0, 0, 0, 0, 0, 7, 125
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Drawers\MainDrawer.tsx", "TypeScript React", 0, 284, 0, 0, 0, 0, 2, 11, 297
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Drawers\MainDrawerTypes.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Errors\TableMappingErrors.tsx", "TypeScript React", 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Forms\LoginForm.tsx", "TypeScript React", 0, 143, 0, 0, 0, 0, 2, 7, 152
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Forms\NameAndDescriptionForm.tsx", "TypeScript React", 0, 51, 0, 0, 0, 0, 0, 3, 54
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Forms\ServerLoginForm.tsx", "TypeScript React", 0, 298, 0, 0, 0, 0, 2, 16, 316
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\IconButtons\IconButtonTypes.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\IconButtons\IconButtonWithTooltip.tsx", "TypeScript React", 0, 34, 0, 0, 0, 0, 0, 4, 38
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Icons\DialogIcons.tsx", "TypeScript React", 0, 28, 0, 0, 0, 0, 0, 5, 33
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Icons\DialogIconsTypes.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Navbars\Navbar.tsx", "TypeScript React", 0, 187, 0, 0, 0, 0, 2, 7, 196
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Navbars\SubNavbar.tsx", "TypeScript React", 0, 114, 0, 0, 0, 0, 0, 9, 123
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\NavigationButtons\NavigationButtonTypes.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 2, 23
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\NavigationButtons\NavigationButtons.tsx", "TypeScript React", 0, 175, 0, 0, 0, 0, 0, 9, 184
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Popovers\EditDeleteActionsPopover.tsx", "TypeScript React", 0, 88, 0, 0, 0, 0, 0, 5, 93
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Popovers\FilterPopover.tsx", "TypeScript React", 0, 128, 0, 0, 0, 0, 2, 7, 137
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Popovers\MoreIconsPopover.tsx", "TypeScript React", 0, 240, 0, 0, 0, 0, 2, 8, 250
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Popovers\PopoverTypes.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 2, 13
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Popovers\RolesActionPopover.tsx", "TypeScript React", 0, 102, 0, 0, 0, 0, 1, 6, 109
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Popovers\SortPopover.tsx", "TypeScript React", 0, 123, 0, 0, 0, 0, 2, 6, 131
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Popovers\UserProfilePopover.tsx", "TypeScript React", 0, 21, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Prompts\ApexPrompt.tsx", "TypeScript React", 0, 20, 0, 0, 0, 0, 1, 3, 24
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Saved\Saved.tsx", "TypeScript React", 0, 43, 0, 0, 0, 0, 0, 9, 52
